Продукт;Раз в неделю;Ем;Описание
Анчоусы;1;ДА;КУПЛЕННЫЕ В СВЕЖЕМ ВИДЕ И ПРИГОТОВЛЕННЫЕ ПРАВИЛЬНО. Мясо сочное и нежное. Ценность заключается в неимоверной жирности. Состоит на 14% из жира и на 25% из белка. Богаты витаминами и минеральными веществами (йод, фосфор).
Белоглазка;-;ДА;"Не представляет особой гастрономической ценности. Содержит много мелких костей. Но особенно вкусна в сушеном, вяленом виде. Так же идет на приготовление ухи, жарение и копчение"
Белый Амур;-;ДА;Считается не костлявой рыбой. Богата витаминами Е, С, А и группы В, а также различными элементами (калий, натрий, кальций, фосфор, магний). Поддерживает работу мозга, сердечной и сосудистой систем. Кроме всего этого, вещества, содержащиеся в филе белого амура, улучшают состояние кожи, нервной системы, улучшает метаболизм жиров.
Берикс;-;ДА;Сдержит в себе витамины: РР, В2. Минеральные вещества: никель, молибден, фтор, хром, хлор, фосфор, калий, натрий, магний, кальций.
Бычки;-;ДА;Содержит усваиваемые белки, необходимые макро- и микроэлементы (кальций, молибден, железо, цинк, хром, фтор и др.), целый ряд витаминов (А,В,С,Е,D). Наличие жирных полиненасыщенных кислот класса омега-3 и омега-6 способствует регулированию обмена веществ, замедлению старения организма, является профилактикой сердечно-сосудистых заболеваний.
Вобла;-;ДА;"Содержит насыщенные жирные кислоты, витамины группы В и С, а так же макроэлементы: фосфор, хлор, натрий, кальций. Микроэлементы: молибден, никель."
Водоросль вакаме;-;ДА;"В водоросли содержатся витамины в большем количестве: холин, РР, К, В9, А, бета-каротин, минеральные вещества: марганец, медь, железо, фосфор, калий, натрий, магний, кальций, йод. В достаточном количестве присутствует клетчатка. Так же содержится природный антиоксидант, способствующий образованию протеинов и жирных кислот омега-3, что является профилактикой от инсультов, инфарктов, болезней сосудов."
Голавль;-;ДА;ОЧЕНЬ КОСТЛЯВЫЙ. Содержит протеины и ненасыщенные жиры, цинк и фосфор, кальций и железо, а также витамины группы В и витамин D. Быстро и легко усваивается.
Голец;1;ДА;"Мясо красное, представитель лососевых."
Горбуша;1;ДА;В горбуше содержатся в небольших количествах практически все микроэлементы и витамины. Витамины: PP, B1, E, B2, D, A, B12, B5, C, B6. Макроэлементы: кальций, сера, калий, магний, хлор, натрий, фосфор. Микроэлементы: железо, никель, цинк, селен, кобальт, йод, молибден, фтор, медь, марганец, хром. К тому же в горбуше присутствуют полиненасыщенные жирные кислоты (омега-3), которые отвечают за процессы старения.
Дорадо (морской карась);-;ДА;"Богата полиненасыщенными жирными кислотами (омега-3). Полна витаминами: B1, B5, A, B12, PP, B2, B9, B6. Химические элементы: йод (высокое содержание), калий, марганец, кальций, цинк, магний, медь, селен, натрий, фосфор."
Ерш;-;ДА;Макро- и микроэлементы: цинк, хром, фтор, молибден, никель, хлор. Витамин РР. Много белков (17,5%). Содержит сбалансированный состав аминокислот.
Зубатка;1;ДА;Мясо зубатки богато тиамином, рибофлавином, пиридоксином, пантотеновой и никотиновой кислотами, а также  аминокислотами - лизин, глутаминовая и аспарагиновая. Обладает легкой усвояемостью, НО оно содержит холестерин. Витамины: B1, C, B6, E, PP, B2, A, B12, D. Макроэлементы: кальций, натрий, сера, магний, хлор, фосфор, калий. Микроэлементы : хром, цинк, никель, железо, кобальт, йод, молибден, фтор, медь, марганец. Рекомендовано для людй с заболеваниями щитовидной железы.
